ID	Protein IDs	Gene Names	ENSEMBL	REFSEQ	Uniprot	VEGA	FPR	Mascot Score	Peptides	Unique Peptides	Assigned Peptides	log2FC count	log2FC median
3666	IPI:IPI00306642.2;IPI:IPI00747916.1	WDSOF1	ENSG00000164934	NP_056235	Q9NV06-1;A6NNZ9	OTTHUMP00000177963	7.43E-116	338.93	8	8	8	3	0.43
1828	IPI:IPI00027828.4;IPI:IPI00219171.3;IPI:IPI00555806.1;IPI:IPI00555623.1;IPI:IPI00748827.1;IPI:IPI00012533.3;IPI:IPI00221055.2;IPI:IPI00002666.3;IPI:IPI00335926.5;IPI:IPI00296891.1	POU2F3;OCT-2;OTF11;PLA1	ENSG00000137709;ENSG00000028277;ENSG00000137709	NP_002688;NP_055167;NP_002689	P14859-1;P14859-2;P14859-3;P14859-4;P09086-1;P09086-2;P09086-3;P09086-4;Q9UKI9;Q5TBT8;Q5TBU0;A8K7H8;Q3MIY3;Q9UMI6;Q9UMJ4	OTTHUMP00000032347;OTTHUMP00000032348;OTTHUMP00000032349;OTTHUMP00000032350;OTTHUMP00000032351;OTTHUMP00000068753;OTTHUMP00000077842;OTTHUMP00000077841;OTTHUMP00000077840	4.39E-07	48.94	2	2	2	3	0.42
2966	IPI:IPI00792834.1;IPI:IPI00792861.1;IPI:IPI00218962.2;IPI:IPI00297121.5	C20orf43;RP5-1153D9.1-006;RP5-1153D9.1-004;AD-007;CDA05;HSPC164;HSPC169	ENSG00000022277;ENSG00000022277;ENSG00000022277	NP_057491	Q9BY42;A2A2L5;A2A2L6;A8MSH5	OTTHUMP00000166075;OTTHUMP00000166074;OTTHUMP00000031353	3.07E-40	106.72	2	2	2	7	0.42
3309	IPI:IPI00294472.3;IPI:IPI00641426.1;IPI:IPI00641954.1	TMED5;CGI-100;UNQ397/PRO733	ENSG00000117500	NP_057124	Q9Y3A6;Q49AG2	OTTHUMP00000011847	3.40E-32	137.58	4	4	4	9	0.42
3963	IPI:IPI00396314.4;IPI:IPI00790411.1;IPI:IPI00794753.1	CNOT10	ENSG00000182973;ENSG00000182973	NP_056257	Q9BU30;Q9HAH3;Q9H8X1;Q9H9A5;Q9H9W0	OTTHUMP00000170554;OTTHUMP00000161313;OTTHUMP00000170559;OTTHUMP00000170556	1.61E-41	114.56	2	2	2	3	0.42
4068	IPI:IPI00872782.1;IPI:IPI00412785.3;IPI:IPI00478862.4	BRP44L;RP1-168L15.3-002;hCG_15016;CGI-129;HSPC040;PNAS-115	ENSG00000060762;ENSG00000060762	NP_057182	Q9Y5U8;Q5TI65;Q5TI66	OTTHUMP00000017592;OTTHUMP00000017591	0.00075111	65.59	2	2	2	6	0.42
1322	IPI:IPI00019994.3;IPI:IPI00737270.1;IPI:IPI00456626.6	TXLNG;CXorf15;LSR5	ENSG00000086712;ENSG00000086712	NP_060830	Q9NUQ3;Q5HYX5;Q2KQ75	OTTHUMP00000022989	5.88E-09	139.36	4	3	3	4	0.41
1502	IPI:IPI00022613.4;IPI:IPI00743803.1	NOL14	ENSG00000087269	NP_003694	P78316-1;P78316-2;A8KA74;Q96GC8		1.22E-104	458.19	11	11	11	6	0.41
3231	IPI:IPI00291643.3	SPRYD4	ENSG00000176422	NP_997227	Q8WW59;A8K7A5	OTTHUMP00000168026	2.95E-16	126.51	3	3	3	4	0.41
3894	IPI:IPI00419642.4;IPI:IPI00384722.2;IPI:IPI00744558.2	C19orf63;HSM1;UNQ764/PRO1556	ENSG00000161671;ENSG00000161671	NP_996261;NP_778233	Q5UCC4;Q6UWP3;Q8N541;Q5UCC6;Q69YT5;Q86YL4	OTTHUMP00000077338;OTTHUMP00000069968	7.68E-34	97.42	2	2	2	5	0.4
4529	IPI:IPI00645702.1	CTPS2	ENSG00000047230	NP_062831;NP_787055	Q9NRF8;Q9H6Q0	OTTHUMP00000022985;OTTHUMP00000022986	1.79E-99	248.19	6	4	4	3	0.4
841	IPI:IPI00012463.4;IPI:IPI00795107.1;IPI:IPI00792405.1;IPI:IPI00788602.1;IPI:IPI00790602.1;IPI:IPI00792229.1;IPI:IPI00793548.1	TATDN1;CDA11	ENSG00000147687;ENSG00000147687	NP_114415	Q6P1N9;Q9BY40;Q8TD02	OTTHUMP00000178237;OTTHUMP00000178242;OTTHUMP00000178238;OTTHUMP00000178240;OTTHUMP00000178239;OTTHUMP00000178241;OTTHUMP00000178243	4.52E-64	206.84	4	4	4	5	0.4
1530	IPI:IPI00023030.4;IPI:IPI00871279.1	SLC38A1;ATA1;NAT2;SAT1;SNAT1	ENSG00000111371	NP_001070952;NP_109599	Q9H2H9;Q8NCD8	OTTHUMP00000167222;OTTHUMP00000167223;OTTHUMP00000167224	3.80E-10	91.33	2	2	2	3	0.39
3329	IPI:IPI00294911.1	SDHB;SDH;SDH1	ENSG00000117118	NP_002991	P21912;Q0QEY7;Q70SX8	OTTHUMP00000002396	4.08E-53	233.77	5	5	5	7	0.39
4749	IPI:IPI00816419.1;IPI:IPI00872862.1;IPI:IPI00062298.3	C1orf151	ENSG00000173436;ENSG00000173436	NP_001027535	Q5TGZ0;Q96G68;A8MPU7	OTTHUMP00000002794	1.15E-05	109.07	2	2	2	3	0.39
