ID	Protein IDs	Gene Names	ENSEMBL	REFSEQ	Uniprot	VEGA	FPR	Mascot Score	Peptides	Unique Peptides	Assigned Peptides	log2FC count let7	log2FC count miR1	log2FC count miR155	log2FC count miR16	log2FC count miR30	log2FC median let7	log2FC median miR1	log2FC median miR155	log2FC median miR16	log2FC median miR30
4217	IPI:IPI00376394.3;IPI:IPI00514219.4	QSOX2	ENSP00000351536;ENSP00000374122	NP_859052	Q6ZRP7;A6NJZ4;A6NLB0	OTTHUMP00000022565	2.81E-235	819.04	21	21	21	13	36	19	23	26	0.12	0.17	0.02	-0.4	0.08
4219	IPI:IPI00376478.4;IPI:IPI00871364.1;IPI:IPI00790595.1;IPI:IPI00794853.1;IPI:IPI00796095.1;IPI:IPI00797376.1	MGC61571;MGC61571;MGC61571;MGC61571	ENSP00000379854;ENSP00000334960	NP_872329	Q68DJ7;Q7Z7K0	OTTHUMP00000170514;OTTHUMP00000170516;OTTHUMP00000170518	1.46E-09	142.2	4	4	4	3	4	1	3	4	-0.31	0.17		-0.09	0.01
4220	IPI:IPI00761082.1;IPI:IPI00376481.6;IPI:IPI00761119.1;IPI:IPI00790511.1	PRR6;PRR6;PRR6	ENSP00000299736	NP_859067	Q7Z7K6-1;Q7Z7K6-3;Q7Z7K6-2	OTTHUMP00000065642;OTTHUMP00000183237	6.62E-57	229.2	5	5	5	9	8	13	8	10	-0.21	0.08	-0.12	-0.11	0.29
4223	IPI:IPI00376787.4;IPI:IPI00171252.4	EZH2;EZH2	ENSP00000320147;ENSP00000223193	NP_004447;NP_694543	Q15910;Q6R125;Q75MP9;Q75MQ0;Q96FI6;Q59H64;Q75MG3	OTTHUMP00000024627	5.05E-16	99.15	4	4	4	0	0	2	0	0					
4224	IPI:IPI00376798.3;IPI:IPI00647674.1;IPI:IPI00647168.1	RPL11;RPL11;RPL11	ENSP00000363676	NP_000966	P62913-1;Q08ES8;Q5VVD0;Q5VVC8;Q5VVC9	OTTHUMP00000002956;OTTHUMP00000003161;OTTHUMP00000003162	0	1102.98	20	1	20	62	88	53	115	105	-0.03	0.01	0.01	-0.12	0.01
4225	IPI:IPI00386141.1;IPI:IPI00376960.5;IPI:IPI00376962.1;IPI:IPI00376963.1;IPI:IPI00168431.1	RBM23;RBM23;RBM23;RBM23;RBM23	ENSP00000352956;ENSP00000382806;ENSP00000339220;ENSP00000345496;ENSP00000305783	NP_001070819;NP_060577;NP_001070820	Q86U06-1;Q86U06-2;Q86U06-4;Q86U06-5;Q86U06-3;Q6IA98	OTTHUMP00000066768;OTTHUMP00000027920	1.25E-54	264.61	6	2	2	0	0	0	2	0					
4226	IPI:IPI00377005.3	-	ENSP00000340627				5.01E-257	551.11	10	2	2	0	0	0	0	0					
4227	IPI:IPI00377261.1;IPI:IPI00787451.1;IPI:IPI00063245.2	FUBP3;FUBP3;FUBP3	ENSP00000318177;ENSP00000361453;ENSP00000351562;ENSP00000361451	NP_003925;XP_001125825;XP_001128545	Q96I24-1;Q96I24-2;Q5VYR6;A6NJ37;Q5VYR7	OTTHUMP00000022369;OTTHUMP00000022368	0	1484.08	30	28	30	97	69	83	131	93	0.09	-0.27	-0.34	0.09	-0.12
4230	IPI:IPI00382516.5;IPI:IPI00215734.3;IPI:IPI00018522.4;IPI:IPI00549813.3;IPI:IPI00747005.2;IPI:IPI00795978.1	PRMT1;PRMT1;PRMT1	ENSP00000375724;ENSP00000354435;ENSP00000375723;ENSP00000246789	NP_938074;NP_938075;NP_001527	Q99873-3;Q99873-2;Q99873-1;Q2VP93;Q8WUW5;Q5U8W9;Q6LEU5	OTTHUMP00000070027;OTTHUMP00000076823;OTTHUMP00000076825;OTTHUMP00000076824	0	1389.02	24	24	24	69	19	65	61	30	0.08	0	-0.01	-0.04	-0.35
4231	IPI:IPI00382748.2;IPI:IPI00848045.1;IPI:IPI00847938.1;IPI:IPI00465271.2;IPI:IPI00647220.1;IPI:IPI00514834.1;IPI:IPI00514542.1;IPI:IPI00743712.1	HYI;HYI;HYI;HYI;HYI;HYI;HYI;HYI	ENSP00000361501;ENSP00000361509;ENSP00000319129;ENSP00000361507;ENSP00000361510;ENSP00000361503;ENSP00000361511;ENSP00000361504;ENSP00000361502	NP_112484	Q5T013-3;Q5T013-1;Q5T013-2;Q5T013-4;A8MSM3;Q5T014;Q5T015;Q5T017	OTTHUMP00000008690;OTTHUMP00000008689;OTTHUMP00000008693;OTTHUMP00000008692;OTTHUMP00000008691	1.06E-06	43.32	2	2	2	2	5	0	0	2		-0.29			
4233	IPI:IPI00382841.4	-			A6NGW7		1.32E-13	213.8	7	2	2	0	1	0	0	0					
4234	IPI:IPI00382958.1	MTAP			Q8WV80		2.11E-226	430.88	7	2	2	3	1	1	1	2	0.28				
4235	IPI:IPI00382985.2;IPI:IPI00784761.1	RNASEH2C;RNASEH2C	ENSP00000308193	NP_115569	Q8TDP1-1;Q8TDP1-2		1.09E-19	95.45	3	3	3	0	0	0	3	0				0.24	
4236	IPI:IPI00383046.3	CMBL	ENSP00000296658	NP_620164	Q96DG6	OTTHUMP00000161672	1.62E-47	436.53	11	11	11	8	6	8	3	2	0.06	-0.19	-0.01	0.4	
4237	IPI:IPI00383105.4;IPI:IPI00643741.2;IPI:IPI00746795.1;IPI:IPI00796585.1;IPI:IPI00374844.3;IPI:IPI00644723.1	CHD9;CHD9;CHD9	ENSP00000219084	NP_079410	Q3L8U1-1;Q3L8U1-2;Q3L8U1-3;Q461N2;Q9HA62;Q8NAR9	OTTHUMP00000080522;OTTHUMP00000108515	1.54E-12	227.2	8	4	4	0	0	0	0	1					
4238	IPI:IPI00383163.5;IPI:IPI00399375.2	THYN1	ENSP00000341657;ENSP00000376374	NP_001032382;NP_054893;NP_954995	Q9P016-1		1.17E-13	180.39	4	3	4	4	0	3	6	3	0.25		-0.19	0.23	-0.18
4239	IPI:IPI00383227.1	-			Q16094		1.59E-182	719.64	18	2	2	0	1	0	0	0					
4240	IPI:IPI00414167.2;IPI:IPI00383247.2	TREX2;TREX2	ENSP00000333441;ENSP00000345218;ENSP00000359251;ENSP00000377442;ENSP00000334993;ENSP00000359252	NP_542432	Q9BQ50-2;Q9BQ50-1;Q06S70	OTTHUMP00000025920;OTTHUMP00000025922;OTTHUMP00000025923;OTTHUMP00000025924	1.36E-90	208.06	4	4	4	0	0	0	0	0					
4241	IPI:IPI00383396.9;IPI:IPI00555659.10;IPI:IPI00439694.2	ATG9A;ATG9A	ENSP00000355173;ENSP00000379983	NP_001070666;NP_076990	Q7Z3C6-1;Q7Z3C6-2;A8K140;Q3ZAQ6		8.91E-20	267.13	8	8	8	10	15	7	11	15	-0.35	0.02	-0.07	-1.07	0.08
4242	IPI:IPI00383410.2;IPI:IPI00643087.1;IPI:IPI00549223.5;IPI:IPI00477971.2	TBL3;TBL3;TBL3;TBL3	ENSP00000331815;ENSP00000347194	NP_006444	Q12788;Q59GD6;Q8IVB7;Q96A78;A0JLS5	OTTHUMP00000081571;OTTHUMP00000158898;OTTHUMP00000081572;OTTHUMP00000081573	0	1803.28	36	36	36	66	94	91	94	62	-0.04	0.14	0.1	-0.27	-0.02
4244	IPI:IPI00383444.1	TCP11L1	ENSP00000335595	NP_060863	Q8IVX4;Q9NUJ3		2.52E-12	100.38	2	2	2	0	0	1	1	0					
4246	IPI:IPI00478657.3;IPI:IPI00444704.2;IPI:IPI00383460.7	GRSF1;GRSF1;GRSF1	ENSP00000254799;ENSP00000370389	NP_001091947;NP_002083	Q12849-1;Q12849-2;Q12849-3;Q4W5S5;Q8IWD6		0	850.81	21	21	21	35	24	32	56	27	-0.16	0.08	-0.13	0.03	-0.13
4248	IPI:IPI00383565.5;IPI:IPI00412415.2	BAZ1A;BAZ1A	ENSP00000351555;ENSP00000353458;ENSP00000371859	NP_872589;NP_038476	Q9NRL2-2;Q9NRL2-1;Q05CW0;Q32ND1;Q59G54	OTTHUMP00000028255;OTTHUMP00000178813	2.02E-155	721.23	19	19	19	4	24	16	24	20	-0.28	0.17	-0.03	0.14	-0.11
4249	IPI:IPI00383581.3;IPI:IPI00441414.1	GANAB;GANAB	ENSP00000349053	NP_938148	Q14697-1;Q14697-3		0	3009.1	58	2	58	265	478	315	512	357	0.03	-0.08	-0.03	0.11	0.07
4250	IPI:IPI00383597.2;IPI:IPI00477139.1	SLC4A2;SLC4A2	ENSP00000311402;ENSP00000376571	NP_003031	P04920-1;P04920-2;Q59GF1;Q99654;Q9UEY4;Q9UEY5;Q9UEY6;Q6PJY3;Q8TAG3	OTTHUMP00000025330	1.21E-09	145.86	6	6	6	2	2	1	0	0					
4251	IPI:IPI00383640.3;IPI:IPI00396170.4;IPI:IPI00556638.3	SIRT6;SIRT6;SIRT6	ENSP00000337332;ENSP00000305310;ENSP00000371360	NP_057623	Q8N6T7-1;Q8N6T7-2;Q8N6T7-4	OTTHUMP00000066825;OTTHUMP00000078069;OTTHUMP00000078070;OTTHUMP00000078071	9.85E-07	98.98	3	3	3	6	0	1	0	0	0.12				
4252	IPI:IPI00844076.1;IPI:IPI00383680.3;IPI:IPI00872681.1;IPI:IPI00028635.4;IPI:IPI00552972.2;IPI:IPI00552146.3;IPI:IPI00552307.3	RPN2;RPN2;RPN2;RPN2;RPN2	ENSP00000362735;ENSP00000362724;ENSP00000237530;ENSP00000345904;ENSP00000362731	NP_002942	P04844;Q5JYR6;Q5JYR7;A6NKT1;Q5JYR4	OTTHUMP00000030900;OTTHUMP00000030902;OTTHUMP00000030901;OTTHUMP00000030903	0	1629.54	26	26	26	116	250	243	253	199	0.04	0.01	0.07	0.12	0.14
4253	IPI:IPI00383729.4	LSM11	ENSP00000286307	NP_775762	P83369	OTTHUMP00000160748	4.72E-07	67.79	2	2	2	0	0	3	1	0			0.12		
4257	IPI:IPI00384047.1;IPI:IPI00329125.1	TRAPPC6B;TRAPPC6B	ENSP00000330289;ENSP00000335171	NP_001073005;NP_803235	Q86SZ2-1;Q86SZ2-2;Q49AS8;Q5JPD6	OTTHUMP00000027987;OTTHUMP00000178905;OTTHUMP00000178904	1.97E-64	105.24	2	2	2	0	3	0	0	0		0.33			
4258	IPI:IPI00384051.6;IPI:IPI00746205.1;IPI:IPI00398048.1	PSME2;PSME2;-	ENSP00000380090;ENSP00000216802;ENSP00000310225	NP_002809	Q9UL46;A8MZ76;Q2TNB3;Q6FHK9;Q86SZ7;A6NDR2	OTTHUMP00000027977	0	664.57	12	12	12	0	10	6	9	13		-0.15	-0.05	0.36	0.1
4259	IPI:IPI00384180.4	YRDC	ENSP00000362135	NP_078916	Q4W4X8;Q6NVW3;Q7L4E4;Q7Z2I4;Q86U90;Q9H5F8	OTTHUMP00000004511	1.77E-85	285.84	8	8	8	1	1	4	2	3			0.16		-0.24
4260	IPI:IPI00641392.4;IPI:IPI00384202.3;IPI:IPI00847837.1	JMJD1C;JMJD1C;JMJD1C	ENSP00000335929;ENSP00000382195;ENSP00000382204	NP_004232;NP_116165	Q15652-2;Q15652-1;A0PJE4;A0T124;A6PW35	OTTHUMP00000019677;OTTHUMP00000019680;OTTHUMP00000019678	1.12E-09	79.16	4	4	4	0	0	0	0	1					
4261	IPI:IPI00384280.5	PCYOX1	ENSP00000264441	NP_057381	Q9UHG3;Q53ST0;Q584P1	OTTHUMP00000160077	0	1034.56	21	21	21	42	25	65	60	52	0.05	0.06	-0.2	0.34	0.22
4262	IPI:IPI00384297.1	CBR4	ENSP00000303525	NP_116172	A6NKV2;Q8N4T8;Q8WTW8;Q96K93		8.67E-38	111.47	2	2	2	0	3	5	0	2		-0.37	-0.56		
4264	IPI:IPI00384456.4;IPI:IPI00106847.3;IPI:IPI00440122.1	MSH6;MSH6	ENSP00000234420	NP_000170	P52701-1;P52701-2;Q1L838;Q3SWU9	OTTHUMP00000159397	1.99E-178	976.44	24	24	24	21	3	35	13	11	-0.16	-0.3	-0.16	0.38	0.14
4267	IPI:IPI00384497.2	PTPLB	ENSP00000373153	NP_940684	Q6Y1H2	OTTHUMP00000172510	1.22E-53	311.1	8	8	8	7	18	2	6	24	-0.01	-0.6		0.11	0.08
4268	IPI:IPI00384517.2;IPI:IPI00385395.3	NUBPL;NUBPL	ENSP00000281081	NP_079428	Q8TB37-1;Q8TB37-2	OTTHUMP00000028217	1.33E-106	153.59	4	4	4	3	3	3	0	0	-0.16	-0.04	0.18		
4269	IPI:IPI00384541.4;IPI:IPI00760919.1;IPI:IPI00639879.2;IPI:IPI00647267.1	KIAA0460;KIAA0460;KIAA0460	ENSP00000358064;ENSP00000383786;ENSP00000358065;ENSP00000383785	NP_056018	Q5VT52-1;Q5VT52-2;Q5VT52-3;A8K6N8;Q9P0D7	OTTHUMP00000014937;OTTHUMP00000014936	3.71E-160	614.87	17	17	17	2	10	26	3	9		-0.2	-0.05	-0.28	0.09
4272	IPI:IPI00384643.2;IPI:IPI00418440.1	TP53I3	ENSP00000238721;ENSP00000337834	NP_004872;NP_671713	Q53FA7-1	OTTHUMP00000116036;OTTHUMP00000116037	1.75E-11	124	3	3	3	0	0	0	0	0					
4273	IPI:IPI00384689.3;IPI:IPI00645809.1;IPI:IPI00329208.3;IPI:IPI00384285.6;IPI:IPI00872106.2;IPI:IPI00373856.10	PDXDC1;PDXDC1;PDXDC1;PDXDC1	ENSP00000322807;ENSP00000379691;ENSP00000322952;ENSP00000334015	NP_055842;XP_001125924	Q6P996-1;Q6P996-2;Q6XYB5;Q86XE2	OTTHUMP00000080864;OTTHUMP00000080865;OTTHUMP00000080863;OTTHUMP00000080866	0	684.76	15	15	15	8	4	9	3	0	-0.01	0.27	0.11	0.44	
4274	IPI:IPI00384708.2;IPI:IPI00643460.1	PDSS2	ENSP00000358033	NP_065114	Q86YH6-1	OTTHUMP00000065664	2.77E-30	143.08	3	3	3	1	0	5	2	2			0.03		
4275	IPI:IPI00384765.2;IPI:IPI00377017.3	PKMYT1;PKMYT1	ENSP00000262300;ENSP00000371675	NP_004194;NP_872629	Q99640;A6NHV6;Q0IJ49	OTTHUMP00000081376;OTTHUMP00000159225;OTTHUMP00000081377	2.75E-16	77.49	2	2	2	0	0	0	0	0					
4276	IPI:IPI00795611.1;IPI:IPI00384861.3;IPI:IPI00238218.3;IPI:IPI00216994.1;IPI:IPI00376496.1;IPI:IPI00413822.3;IPI:IPI00186690.6;IPI:IPI00216991.1;IPI:IPI00216993.1;IPI:IPI00413167.2;IPI:IPI00216996.1;IPI:IPI00216997.1;IPI:IPI00216998.2;IPI:IPI00743271.3	GIT1;GIT1;GIT2;GIT2;GIT2;GIT2;GIT2;GIT2;GIT2;GIT2;GIT2;GIT2;GIT2;GIT1	ENSP00000378337;ENSP00000378338;ENSP00000225394;ENSP00000347464;ENSP00000354282;ENSP00000346585;ENSP00000323833;ENSP00000353312;ENSP00000340342;ENSP00000348595;ENSP00000340938	NP_001078923;NP_054749;NP_476510;NP_055591;NP_476511;NP_631940	Q9Y2X7-1;Q14161-1;Q14161-5;Q14161-10;Q14161-11;Q14161-2;Q14161-3;Q14161-4;Q14161-6;Q14161-7;Q14161-8;Q14161-9;Q59FC3;Q6NWZ0;A6NCE8;A6NG90;Q6FI58;Q68DM7;Q7Z2E5	OTTHUMP00000163606;OTTHUMP00000181041;OTTHUMP00000163605;OTTHUMP00000169210;OTTHUMP00000169211;OTTHUMP00000169212;OTTHUMP00000169209	9.24E-18	70.5	2	2	2	0	0	0	2	1					
4277	IPI:IPI00642271.2;IPI:IPI00384867.4;IPI:IPI00854750.1;IPI:IPI00873189.1	SLC35B2;SLC35B2;SLC35B2;SLC35B2	ENSP00000288373;ENSP00000342455;ENSP00000377401	NP_835361	Q8TB61-1;Q8TB61-2;Q8TB61-3	OTTHUMP00000016513	2.89E-16	170.68	6	6	6	6	17	10	7	10	-0.15	0.01	0.39	-0.5	0.1
4278	IPI:IPI00384909.3	KIDINS220	ENSP00000256707	NP_065789	A1L4N4;Q4VC08;Q6MZU2;Q7Z322;Q9H889;Q9H9E4;Q9NT37;Q9ULH0		6.19E-64	579.35	17	5	17	3	21	20	4	3	-0.33	0.01	-0.09	-0.47	-0.39
4279	IPI:IPI00384961.3;IPI:IPI00171444.2;IPI:IPI00656079.1;IPI:IPI00640315.1;IPI:IPI00641938.1;IPI:IPI00639895.1	GPR177;GPR177;MIER1;GPR177;GPR177	ENSP00000346829;ENSP00000262348;ENSP00000360012;ENSP00000360015	NP_001002292;NP_079187	Q5T9L3-2;Q5T9L3-1;Q8N108-9;Q96IV8;Q8N2N3;Q5JRS7;Q9H5T0	OTTHUMP00000010727;OTTHUMP00000010725;OTTHUMP00000010729;OTTHUMP00000010726	8.56E-09	142.63	5	5	5	10	6	4	8	4	-0.26	-0.41	-0.13	0.07	0.01
4281	IPI:IPI00385034.6;IPI:IPI00398293.1;IPI:IPI00645815.1	SLC9A3R2;SLC9A3R2;SLC9A3R2	ENSP00000191922	NP_004776	Q15599-1;Q15599-2;Q6NTG0	OTTHUMP00000081500;OTTHUMP00000083215;OTTHUMP00000081501;OTTHUMP00000083216	9.17E-52	249.14	6	2	6	12	14	10	0	8	0.15	0.04	-0.41		-0.47
4282	IPI:IPI00385042.4;IPI:IPI00477155.3;IPI:IPI00645138.1	GTPBP4;GTPBP4	ENSP00000354040;ENSP00000353168	NP_036473	Q9BZE4;Q53GS0;Q5T3R8;Q8N4P8	OTTHUMP00000018953	0	2095.89	45	19	45	114	114	119	161	97	-0.19	0.1	-0.08	-0.16	-0.05
4283	IPI:IPI00385055.5;IPI:IPI00743859.1;IPI:IPI00514038.1	CTNNA2;CTNNA2;CTNNA2	ENSP00000355398;ENSP00000341500	NP_004380	P26232-1;P26232-2;Q49AD3;Q7Z3L1		0	803.04	15	3	3	1	1	1	0	1					
4285	IPI:IPI00385128.3;IPI:IPI00783192.1	AGPAT7;AGPAT7	ENSP00000317300	NP_705841	Q643R3-1;Q643R3-2;A8K2K8	OTTHUMP00000176148	2.76E-75	198.91	4	4	4	0	0	1	5	0				-0.03	
4286	IPI:IPI00385267.3	SRPR	ENSP00000328023	NP_003130	P08240;A6NIB3;Q6IAX9		0	1272.06	27	27	27	58	31	69	47	42	0.27	0.27	0.24	-1.07	0.21
4287	IPI:IPI00385383.3;IPI:IPI00329721.3;IPI:IPI00789367.1;IPI:IPI00792522.1;IPI:IPI00555898.3	ABCC5;ABCC5;ABCC5;ABCC5;ABCC5	ENSP00000333926;ENSP00000265586;ENSP00000371935	NP_005679	O15440;Q59FK6;Q86UX3;Q59GK6	OTTHUMP00000173867;OTTHUMP00000041181;OTTHUMP00000041178;OTTHUMP00000173872	1.10E-07	97.88	4	4	4	0	1	1	0	0					
4289	IPI:IPI00385449.4;IPI:IPI00748556.2;IPI:IPI00010466.3;IPI:IPI00219628.3;IPI:IPI00007128.1;IPI:IPI00029196.6;IPI:IPI00470691.2;IPI:IPI00329236.2;IPI:IPI00552075.2	PRKCA	ENSP00000284384	NP_002728	P17252;Q2TSD3;Q59FI5	OTTHUMP00000181811	0	1107.31	24	23	24	38	35	55	27	19	0.27	0.35	0.27	-0.01	-0.03
4290	IPI:IPI00385495.5;IPI:IPI00852693.1;IPI:IPI00854764.1;IPI:IPI00442435.1	TMEM112B;TMEM112B;TMEM112B	ENSP00000335159;ENSP00000216080;ENSP00000370173	NP_149977	Q13392;Q9BU23;Q96C62;A6NEZ0	OTTHUMP00000028596;OTTHUMP00000196605	1.77E-173	389.26	10	10	10	1	11	1	9	8		-0.01		-0.42	-0.19
4291	IPI:IPI00514277.2;IPI:IPI00410032.2;IPI:IPI00736672.2;IPI:IPI00410118.1;IPI:IPI00759828.1;IPI:IPI00385562.1;IPI:IPI00759501.1;IPI:IPI00749287.1	QKI;QKI;QKI;QKI;QKI;QKI;QKI;QKI	ENSP00000354951;ENSP00000354867;ENSP00000355094;ENSP00000275262;ENSP00000375973	NP_006766;NP_996735;NP_996736;NP_996737	Q96PU8-1;Q96PU8-2;Q96PU8-3;Q96PU8-4;Q96PU8-5;Q96PU8-6;Q96PU8-7;Q96PU8-8	OTTHUMP00000017581;OTTHUMP00000017582;OTTHUMP00000017583	6.38E-15	176.17	7	7	7	4	0	2	2	0	0.35				
4292	IPI:IPI00385631.6;IPI:IPI00789160.1;IPI:IPI00790964.2;IPI:IPI00792730.1;IPI:IPI00443759.1;IPI:IPI00847913.1	ZZEF1;ZZEF1;ZZEF1	ENSP00000371051	NP_055928	O43149-1;O43149-2;A7MBM5	OTTHUMP00000115929;OTTHUMP00000183050;OTTHUMP00000183051	6.15E-24	231.19	9	9	9	1	0	0	0	0					
4294	IPI:IPI00385928.2	C4orf14	ENSP00000264230	NP_115689	Q8NC60	OTTHUMP00000158975	7.68E-193	553.8	11	11	11	5	6	28	23	6	-0.07	0.23	-0.02	0	0.02
4295	IPI:IPI00385987.4;IPI:IPI00784859.1	DAGLB;DAGLB	ENSP00000297056	NP_631918	Q8NCG7-1;Q8NCG7-2;A4D2P3	OTTHUMP00000155168;OTTHUMP00000024854	6.63E-24	181.18	5	5	5	1	1	1	0	0					
4297	IPI:IPI00386043.6;IPI:IPI00855720.1;IPI:IPI00855707.1	C1orf27;C1orf27;C1orf27	ENSP00000287859;ENSP00000356440	NP_060317	Q5SWX8-1;Q5SWX8-2;Q5SWX8-3	OTTHUMP00000033583	2.01E-31	272.22	6	6	6	5	3	8	3	0	-0.44	-0.02	-0.09	0	
4298	IPI:IPI00386072.3;IPI:IPI00171443.1	ALG2;ALG2	ENSP00000238477;ENSP00000326609	NP_149078	Q9H553-1;Q9H553-2;Q8NBW5	OTTHUMP00000123474	7.42E-194	697.78	17	17	17	15	11	23	12	7	0.41	-0.37	0.01	-0.44	0.19
4299	IPI:IPI00386120.3;IPI:IPI00386118.3;IPI:IPI00386114.1;IPI:IPI00294627.3;IPI:IPI00386117.3;IPI:IPI00386119.4;IPI:IPI00383251.1;IPI:IPI00852591.1	SF1;SF1;SF1;SF1;SF1;SF1	ENSP00000366611;ENSP00000227503;ENSP00000366607;ENSP00000334414;ENSP00000366604	NP_973727;NP_004621;NP_973724	Q15637-6;Q15637-4;Q15637-1;Q15637-2;Q15637-3;Q15637-5;Q14821	OTTHUMP00000069751;OTTHUMP00000069750;OTTHUMP00000069752;OTTHUMP00000069749;OTTHUMP00000069753	0	536.66	12	12	12	23	12	29	28	26	-0.13	-0.04	-0.17	0	0.17
4300	IPI:IPI00386122.4;IPI:IPI00398774.3;IPI:IPI00856011.1	MOBKL3;MOBKL3;MOBKL3	ENSP00000315702;ENSP00000233892;ENSP00000376121	NP_056202;NP_955776;NP_001094289	Q9Y3A3-1;Q9Y3A3-2;A8K012;Q53SE0	OTTHUMP00000163628;OTTHUMP00000163629	4.87E-67	279.88	6	6	6	6	7	2	0	8	0.25	0.01			0.09
4301	IPI:IPI00386189.2;IPI:IPI00032158.3	NARG1;NARG1	ENSP00000296543;ENSP00000381920	NP_476516	Q9BXJ9-1;Q9BXJ9-4;Q58F05	OTTHUMP00000174300;OTTHUMP00000174301	1.21E-216	1293.6	33	28	33	32	9	24	15	7	-0.28	0	0.22	-0.6	0.2
4302	IPI:IPI00386199.2;IPI:IPI00396541.1	C19orf6;C19orf6	ENSP00000349087;ENSP00000331423	NP_001028198;NP_219488	Q4ZIN3-1;Q4ZIN3-2	OTTHUMP00000076172;OTTHUMP00000066395;OTTHUMP00000076171	2.43E-07	86.94	3	3	3	1	0	0	2	1					
4303	IPI:IPI00386229.2	BAK1	ENSP00000363584		Q8NFF3		2.36E-174	360.47	7	1	7	7	12	5	13	17	0.04	0.53	0.37	-0.08	-0.1
4304	IPI:IPI00479697.1;IPI:IPI00386258.1;IPI:IPI00844338.2;IPI:IPI00554789.1;IPI:IPI00514366.2;IPI:IPI00739665.1;IPI:IPI00872770.1	MTCH1;MTCH1;MTCH1;MTCH1;MTCH1	ENSP00000362718;ENSP00000362730;ENSP00000338712;ENSP00000362651	NP_055156	Q9NZJ7-2;Q9NZJ7-1;A4FVA6;A8KAX5;Q8IW90;Q9Y374;Q5TDC2	OTTHUMP00000016315;OTTHUMP00000016318;OTTHUMP00000016317	1.04E-132	709.82	15	15	15	43	44	61	45	26	-0.02	-0.13	-0.03	0.38	0.01
4305	IPI:IPI00386271.3	SLC25A12	ENSP00000263812	NP_003696	O75746;Q96AM8	OTTHUMP00000165848	0	1904.52	34	2	25	46	50	61	69	56	-0.22	0	0.19	-0.11	-0.03
4306	IPI:IPI00386294.2	PRICKLE4	ENSP00000381856;ENSP00000381859		Q96B49	OTTHUMP00000174797;OTTHUMP00000174798	1.15E-161	138.55	2	2	2	1	0	0	0	0					
4308	IPI:IPI00386311.2	SMARCAL1	ENSP00000349823;ENSP00000350940;ENSP00000375974	NP_054859	Q9NZC9;A6NEH0;Q53R00	OTTHUMP00000164057	6.94E-06	90.6	4	4	4	0	2	0	0	0					
4310	IPI:IPI00386616.4	C1orf212			Q49AP7		2.24E-14	235.59	6	6	6	4	8	0	2	22	-0.19	0.36			0.17
4311	IPI:IPI00386662.1;IPI:IPI00412643.1;IPI:IPI00645384.3;IPI:IPI00646643.1;IPI:IPI00786930.1;IPI:IPI00787793.1;IPI:IPI00736887.1;IPI:IPI00009071.2;IPI:IPI00074587.7;IPI:IPI00477946.1;IPI:IPI00291624.2	FUSIP1;LOC727922;FUSIP1;FUSIP1;FUSIP1;LOC727922;LOC727922;LOC653884;FUSIP1;LOC727922;FUSIP1;LOC727922	ENSP00000363576;ENSP00000363580;ENSP00000345293;ENSP00000363577;ENSP00000342913;ENSP00000340764;ENSP00000363581;ENSP00000344149;ENSP00000363573	XP_001126361;XP_001126391;XP_001126406;XP_941333;NP_006616;XP_001126375;NP_473357;XP_001126417	O75494-4;O75494-2;O75494-3;O75494-1;A6NIU7;Q5JRI2;Q5JRI0;Q5JRI1;Q5JRI3;A6NFM6;Q5JRI4;A6NI42;Q53GD7;Q5JRH9	OTTHUMP00000015777;OTTHUMP00000015775;OTTHUMP00000015778;OTTHUMP00000015776;OTTHUMP00000015774;OTTHUMP00000015773	8.96E-163	474.29	11	11	11	66	47	47	66	47	0.1	-0.16	0	0.14	-0.08
4313	IPI:IPI00386687.3	LRRFIP1	ENSP00000310109;ENSP00000375856		Q9BSL6;Q9Y607	OTTHUMP00000164478	4.18E-234	366.39	7	2	2	1	3	0	0	2		-0.31			
4314	IPI:IPI00872352.1;IPI:IPI00386751.2;IPI:IPI00783518.2	HDDC2;HDDC2;HDDC2	ENSP00000381220;ENSP00000316242;ENSP00000357361;ENSP00000373652	NP_057147	Q7Z4H3-1;Q7Z4H3-2;Q7Z4H3-3	OTTHUMP00000017137	2.10E-69	231.75	4	4	4	0	0	0	0	0					
4316	IPI:IPI00386755.2;IPI:IPI00872773.1;IPI:IPI00429633.6;IPI:IPI00480093.5	ERO1L;ERO1L	ENSP00000352044;ENSP00000379042	NP_055399	Q96HE7;A8K9X4;A8MYW1	OTTHUMP00000028328;OTTHUMP00000178990	0	951.11	18	18	18	26	27	46	64	40	-0.32	0.19	0.16	0.41	0.32
4317	IPI:IPI00386760.2;IPI:IPI00746642.1;IPI:IPI00074330.7;IPI:IPI00003455.3	TMEM48;TMEM48;TMEM48;TMEM48	ENSP00000360483;ENSP00000353684;ENSP00000234725	NP_060557	Q9BTX1-1;Q9BTX1-2;Q9BTX1-3;Q9BTX1-4;A6NEN1	OTTHUMP00000009747	5.36E-76	430.06	11	11	11	17	29	18	17	11	-0.13	-0.1	0.03	-0.16	0.02
